"id","close_date","price","close_price","zip"
159237,"2012-1-20",39000,40000,30039
159238,"2012-3-01",135000,132000,30039
159240,"2012-1-11",30000,34000,"30039-6160"
159242,"2012-4-27",79900,72500,30039
159243,"2012-1-31",74900,72500,"30039-8787"
159244,"2012-1-31",79900,80800,"30078-5012"
159245,"2012-4-19",95000,90000,30052
159247,"2012-3-16",111500,113000,"30039-7638"
159248,"2012-3-16",79900,75905,"30052-8128"
159249,"2012-1-27",179900,178000,30039
159250,"2012-4-26",120157,125400,30017
159251,"2012-3-14",74900,72500,"30078-3297"
159253,"2012-1-13",28000,30005,"30052-2492"
159254,"2012-3-29",88100,87000,"30017-2898"
159255,"2012-4-13",140000,120000,"30017-1194"
159256,"2012-4-20",122500,78000,"30017-1744"
159259,"2012-2-23",45000,45000,30039
159260,"2012-1-27",98116,96900,"30052-8118"
159261,"2012-4-26",74900,74900,"30052-8880"
159262,"2012-4-30",57500,37000,"30087-3713"
159263,"2012-2-28",35800,35800,"30052-2458"
159265,"2012-2-15",74900,72577,30339
159266,"2012-1-26",67000,67000,"30039-6835"
159267,"2012-3-30",98500,98500,30039
159268,"2012-1-12",49500,50000,"30078-2702"
159269,"2012-2-15",83900,60000,"30052-8726"
159270,"2012-1-06",28900,30100,"30087-4130"
159271,"2012-1-31",124900,124000,30039
159272,"2012-4-05",114900,114900,30047
159273,"2012-3-23",84900,86900,30017
159274,"2012-4-30",31900,33000,"30039-0000"
159275,"2012-2-29",79000,79000,"30039-6775"
159276,"2012-3-19",136300,136300,"30017-1920"
159277,"2012-4-20",54900,57000,30052
159278,"2012-2-28",59900,57000,30087
159279,"2012-3-20",45000,51714,30046
159280,"2012-4-03",40000,38350,30087
159281,"2012-2-10",108900,106000,30039
159282,"2012-2-09",106700,95000,"30039-8561"
159283,"2012-2-23",107000,107000,30052
159284,"2012-2-10",79900,78000,30039
159285,"2012-2-06",74000,74150,"30045-8699"
159286,"2012-1-30",97000,101000,30052
159287,"2012-1-13",30000,30000,"30078-4512"
159288,"2012-6-15",74900,74900,30052
159289,"2012-3-19",169900,162000,"30017-1277"
159290,"2012-3-05",149000,145000,30039
159291,"2012-2-29",179900,171500,30017
159292,"2012-2-22",115000,115000,30052
159293,"2012-2-29",89900,89900,"30039-5956"
159294,"2012-1-20",49900,46000,"30078-2143"
159295,"2012-3-29",103900,104000,"30052-8159"
159296,"2012-2-10",64900,64500,"30078-3845"
159297,"2012-3-07",85000,73000,"30039-7046"
159298,"2012-4-12",159900,130000,30039
159299,"2012-2-29",77900,75900,"30045-6319"
159300,"2012-2-29",164900,160000,"30078-6877"
159301,"2012-4-11",164900,155000,"30039-5620"
159302,"2012-1-10",69900,68000,30017
159303,"2012-2-15",85000,85000,30039
159304,"2012-3-02",84900,79000,"30078-3739"
159305,"2012-2-13",85000,85000,30052
159306,"2012-2-10",89000,87000,"30017-7924"
159307,"2012-4-02",49500,48000,30039
159308,"2012-3-22",85000,78500,30039
159309,"2012-1-19",36300,36300,"30039-8049"
159310,"2012-2-08",82000,80000,30052
159311,"2012-2-01",34900,39360,30052
159312,"2012-3-16",69900,45000,"30039-4318"
159313,"2012-1-18",76900,76900,"30087-4228"
159314,"2012-4-27",89900,89000,"30039-5111"
159315,"2012-2-24",80000,71500,30039
159316,"2012-3-08",69000,64500,30046
159317,"2012-2-29",60000,58000,30052
159318,"2012-3-23",65000,47000,30039
159319,"2012-1-24",45000,46500,"30017-1442"
159320,"2012-2-28",54900,55000,30087
159321,"2012-4-16",130000,144100,30039
159322,"2012-3-30",114900,113000,30039
159323,"2012-3-14",78900,76900,30087
159324,"2012-3-12",59500,57000,"30078-5819"
159325,"2012-3-08",104900,104900,30045
159326,"2012-2-16",35000,36000,"30046-5905"
159327,"2012-2-13",55000,60400,"30039-7947"
159328,"2012-4-11",44900,42000,30039
159329,"2012-3-08",119900,115000,"30052-5832"
159330,"2012-3-16",139900,125000,30052
159331,"2012-3-21",119900,109900,"30039-4773"
159332,"2012-4-16",69900,66000,"30078-2449"
